Size, Seq, Par, Libc
100, 0.000011, 0.080792, 0.000013
100, 0.000010, 0.014540, 0.000019
100, 0.000012, 0.024984, 0.000128
100, 0.000010, 0.017544, 0.000016
100, 0.000009, 0.071189, 0.000017
100, 0.000010, 0.030144, 0.000014
100, 0.000009, 0.009495, 0.000015
100, 0.000009, 0.039527, 0.000013
100, 0.000009, 0.020023, 0.000016
100, 0.000009, 0.038587, 0.000014
100, 0.000008, 0.042731, 0.000013
100, 0.000009, 0.019486, 0.000017
100, 0.000011, 0.054364, 0.000017
100, 0.000009, 0.037095, 0.000015
100, 0.000011, 0.030283, 0.000016
100, 0.000009, 0.067550, 0.000013
100, 0.000009, 0.035682, 0.000012
100, 0.000009, 0.019632, 0.000252
100, 0.000009, 0.034605, 0.000013
100, 0.000009, 0.009848, 0.000017
100, 0.000009, 0.066956, 0.000017
100, 0.000013, 0.039601, 0.000015
100, 0.000011, 0.069427, 0.000013
100, 0.000011, 0.037747, 0.000022
100, 0.000009, 0.035956, 0.000017
100, 0.000011, 0.096610, 0.000016
100, 0.000013, 0.020933, 0.000015
100, 0.000011, 0.072561, 0.000012
100, 0.000012, 0.016526, 0.000016
100, 0.000009, 0.030681, 0.000013
100, 0.000009, 0.017634, 0.000013
100, 0.000009, 0.016872, 0.000017
100, 0.000012, 0.024372, 0.000017
100, 0.000012, 0.034796, 0.000018
100, 0.000010, 0.029153, 0.000017
100, 0.000009, 0.024470, 0.000015
100, 0.000011, 0.036433, 0.000012
100, 0.000010, 0.013440, 0.000016
100, 0.000012, 0.015655, 0.000013
100, 0.000012, 0.035267, 0.000017
100, 0.000013, 0.084094, 0.000017
100, 0.000010, 0.023632, 0.000019
100, 0.000010, 0.026804, 0.000019
100, 0.000009, 0.018746, 0.000048
100, 0.000009, 0.027351, 0.000016
100, 0.000009, 0.052130, 0.000015
100, 0.000009, 0.033091, 0.000015
100, 0.000014, 0.049053, 0.000025
100, 0.000077, 0.018067, 0.000013
100, 0.000009, 0.040592, 0.000014
1000, 0.000119, 0.172862, 0.000312
1000, 0.000141, 0.360599, 0.000426
1000, 0.000149, 0.199002, 0.000189
1000, 0.000121, 0.154212, 0.000305
