Size, Type, Time
100, "Sequential", 0.000009
100, "Parallel", 0.012955
100, "Built-in", 0.000021
100, "Sequential", 0.000010
100, "Parallel", 0.004646
100, "Built-in", 0.000013
100, "Sequential", 0.000009
100, "Parallel", 0.007118
100, "Built-in", 0.000012
100, "Sequential", 0.000009
100, "Parallel", 0.006989
100, "Built-in", 0.000021
100, "Sequential", 0.000009
100, "Parallel", 0.005042
100, "Built-in", 0.000015
100, "Sequential", 0.000011
100, "Parallel", 0.006343
100, "Built-in", 0.000017
100, "Sequential", 0.000011
100, "Parallel", 0.006282
100, "Built-in", 0.000013
100, "Sequential", 0.000010
100, "Parallel", 0.005815
100, "Built-in", 0.000012
100, "Sequential", 0.000010
100, "Parallel", 0.005556
100, "Built-in", 0.000010
100, "Sequential", 0.000009
100, "Parallel", 0.004688
100, "Built-in", 0.000012
100, "Sequential", 0.000009
100, "Parallel", 0.005988
100, "Built-in", 0.000013
100, "Sequential", 0.000009
100, "Parallel", 0.005852
100, "Built-in", 0.000013
100, "Sequential", 0.000009
100, "Parallel", 0.005713
100, "Built-in", 0.000011
100, "Sequential", 0.000009
100, "Parallel", 0.004982
100, "Built-in", 0.000011
100, "Sequential", 0.000009
100, "Parallel", 0.005863
100, "Built-in", 0.000012
100, "Sequential", 0.000018
100, "Parallel", 0.006607
100, "Built-in", 0.000013
100, "Sequential", 0.000009
100, "Parallel", 0.004642
100, "Built-in", 0.000012
100, "Sequential", 0.000010
100, "Parallel", 0.004359
100, "Built-in", 0.000011
100, "Sequential", 0.000020
100, "Parallel", 0.004688
100, "Built-in", 0.000011
100, "Sequential", 0.000010
100, "Parallel", 0.005009
100, "Built-in", 0.000012
100, "Sequential", 0.000010
100, "Parallel", 0.005466
100, "Built-in", 0.000011
100, "Sequential", 0.000009
100, "Parallel", 0.005191
100, "Built-in", 0.000012
100, "Sequential", 0.000010
100, "Parallel", 0.006726
100, "Built-in", 0.000012
100, "Sequential", 0.000010
100, "Parallel", 0.004774
100, "Built-in", 0.000011
100, "Sequential", 0.000009
100, "Parallel", 0.004359
100, "Built-in", 0.000015
