Size, Seq, Par, Libc
100, 0.000009, 0.021243, 0.000014
100, 0.000009, 0.009208, 0.000013
100, 0.000011, 0.012157, 0.000011
100, 0.000009, 0.007235, 0.000012
100, 0.000010, 0.009217, 0.000012
100, 0.000009, 0.008054, 0.000012
100, 0.000010, 0.011934, 0.000011
100, 0.000009, 0.015555, 0.000077
100, 0.000009, 0.013916, 0.000013
100, 0.000010, 0.010720, 0.000012
100, 0.000008, 0.008002, 0.000011
100, 0.000011, 0.011462, 0.000013
100, 0.000008, 0.008253, 0.000011
100, 0.000009, 0.009080, 0.000016
100, 0.000011, 0.004933, 0.000011
100, 0.000009, 0.003777, 0.000010
100, 0.000009, 0.005269, 0.000016
100, 0.000011, 0.008622, 0.000013
100, 0.000009, 0.004221, 0.000025
100, 0.000009, 0.003714, 0.000011
100, 0.000008, 0.003534, 0.000011
100, 0.000008, 0.003756, 0.000011
100, 0.000009, 0.005616, 0.000011
100, 0.000009, 0.003730, 0.000011
100, 0.000009, 0.010233, 0.000011
100, 0.000009, 0.011619, 0.000012
100, 0.000009, 0.012631, 0.000013
100, 0.000011, 0.009093, 0.000012
100, 0.000008, 0.013212, 0.000012
100, 0.000008, 0.021380, 0.000012
100, 0.000010, 0.007440, 0.000013
100, 0.000009, 0.009237, 0.000011
100, 0.000008, 0.009633, 0.000012
100, 0.000010, 0.009253, 0.000011
100, 0.000010, 0.004437, 0.000013
100, 0.000010, 0.006187, 0.000012
100, 0.000009, 0.003784, 0.000010
100, 0.000008, 0.003768, 0.000010
100, 0.000011, 0.004968, 0.000011
100, 0.000009, 0.004210, 0.000010
100, 0.000009, 0.004668, 0.000042
100, 0.000009, 0.003879, 0.000011
100, 0.000009, 0.004152, 0.000012
100, 0.000009, 0.004705, 0.000013
100, 0.000009, 0.003843, 0.000010
100, 0.000008, 0.003984, 0.000010
100, 0.000009, 0.004556, 0.000012
100, 0.000009, 0.003601, 0.000012
100, 0.000009, 0.004981, 0.000013
100, 0.000009, 0.016047, 0.000016
1000, 0.000141, 0.034682, 0.000217
1000, 0.000154, 0.016154, 0.000190
1000, 0.000120, 0.023544, 0.000185
1000, 0.000123, 0.015200, 0.000193
1000, 0.000122, 0.016623, 0.000191
1000, 0.000146, 0.019711, 0.000193
1000, 0.000124, 0.018165, 0.000193
1000, 0.000124, 0.018815, 0.000445
1000, 0.000120, 0.040283, 0.000207
1000, 0.000124, 0.017596, 0.008359
1000, 0.000120, 0.021298, 0.000230
1000, 0.000156, 0.023356, 0.000215
1000, 0.000118, 0.021914, 0.000247
1000, 0.000139, 0.020860, 0.000187
1000, 0.000118, 0.018322, 0.000190
1000, 0.000138, 0.031791, 0.000184
1000, 0.000115, 0.020413, 0.000232
1000, 0.000119, 0.032910, 0.000226
1000, 0.000125, 0.018947, 0.000256
1000, 0.000204, 0.024690, 0.000257
1000, 0.000120, 0.017155, 0.000186
1000, 0.000196, 0.017313, 0.000195
1000, 0.000123, 0.030935, 0.000244
1000, 0.000119, 0.020250, 0.000235
1000, 0.000116, 0.038889, 0.000189
1000, 0.000125, 0.020231, 0.000195
1000, 0.000120, 0.020075, 0.000188
1000, 0.000119, 0.023999, 0.000202
1000, 0.000123, 0.031087, 0.000235
1000, 0.000119, 0.019518, 0.000213
1000, 0.000119, 0.020997, 0.000226
1000, 0.000151, 0.024274, 0.000218
1000, 0.000129, 0.031331, 0.000488
1000, 0.000192, 0.024909, 0.000255
1000, 0.000175, 0.022455, 0.000199
1000, 0.000122, 0.025059, 0.000192
1000, 0.000119, 0.054228, 0.000197
1000, 0.000146, 0.047237, 0.000181
1000, 0.000115, 0.033747, 0.000190
1000, 0.000119, 0.023096, 0.000195
1000, 0.000120, 0.021527, 0.000190
1000, 0.000120, 0.051049, 0.000240
1000, 0.000120, 0.037978, 0.000203
1000, 0.000123, 0.052603, 0.000260
1000, 0.000185, 0.030608, 0.000244
1000, 0.000120, 0.024132, 0.000191
1000, 0.000123, 0.018528, 0.000192
1000, 0.000120, 0.017284, 0.000192
1000, 0.000120, 0.016171, 0.000189
1000, 0.000120, 0.018985, 0.000189
10000, 0.001881, 0.062573, 0.001743
10000, 0.001544, 0.175519, 0.007890
10000, 0.005872, 0.156078, 0.003414
10000, 0.004532, 0.206639, 0.001584
10000, 0.001515, 0.081843, 0.001529
10000, 0.008112, 0.108433, 0.002463
10000, 0.005887, 0.102423, 0.001505
10000, 0.001487, 0.059412, 0.001539
10000, 0.001565, 0.043764, 0.001758
10000, 0.002333, 0.074499, 0.001819
10000, 0.001646, 0.117841, 0.001849
10000, 0.006381, 0.144507, 0.001746
10000, 0.004824, 0.213765, 0.001529
10000, 0.001517, 0.238442, 0.001607
10000, 0.005943, 0.107382, 0.001786
10000, 0.001617, 0.162191, 0.001534
10000, 0.004066, 0.038332, 0.001495
10000, 0.001955, 0.084830, 0.006101
10000, 0.001742, 0.177157, 0.003158
10000, 0.007534, 0.246017, 0.001589
10000, 0.006197, 0.087641, 0.001547
10000, 0.010677, 0.100986, 0.003891
10000, 0.004198, 0.199741, 0.001502
10000, 0.001888, 0.086197, 0.003727
10000, 0.007069, 0.138977, 0.001785
10000, 0.001520, 0.222866, 0.001497
10000, 0.001563, 0.201671, 0.001634
10000, 0.001544, 0.233267, 0.002349
10000, 0.001932, 0.166137, 0.001547
10000, 0.008410, 0.264311, 0.002041
10000, 0.001526, 0.156647, 0.010314
10000, 0.004756, 0.333810, 0.006338
10000, 0.001969, 0.164302, 0.006196
10000, 0.010014, 0.140012, 0.011801
10000, 0.005310, 0.119942, 0.002052
10000, 0.002066, 0.098926, 0.005739
10000, 0.001554, 0.178495, 0.001586
10000, 0.005813, 0.120950, 0.001656
10000, 0.001525, 0.137544, 0.002248
10000, 0.001582, 0.138618, 0.002057
10000, 0.001530, 0.161892, 0.001618
10000, 0.001591, 0.225017, 0.001599
10000, 0.001605, 0.180082, 0.006324
10000, 0.001775, 0.204329, 0.001633
10000, 0.010123, 0.089015, 0.001752
10000, 0.004085, 0.137703, 0.001501
10000, 0.006086, 0.104704, 0.001546
10000, 0.006229, 0.148340, 0.001509
10000, 0.001543, 0.139444, 0.002660
10000, 0.001601, 0.165898, 0.004364
100000, 0.061694, 0.295104, 0.063907
100000, 0.055776, 0.314162, 0.038020
100000, 0.028778, 0.361718, 0.047207
100000, 0.044524, 0.398620, 0.078086
100000, 0.089730, 0.236986, 0.023873
100000, 0.023483, 0.185126, 0.023134
100000, 0.021676, 0.312011, 0.060092
100000, 0.057336, 0.288620, 0.051104
100000, 0.045206, 0.288292, 0.061629
100000, 0.050833, 0.165715, 0.043833
100000, 0.043799, 0.367669, 0.067909
100000, 0.045926, 0.319288, 0.049179
100000, 0.064039, 0.210076, 0.039184
100000, 0.049050, 0.189084, 0.023159
100000, 0.019629, 0.060071, 0.026885
100000, 0.046344, 0.243621, 0.024453
100000, 0.030628, 0.157813, 0.020009
100000, 0.022662, 0.101276, 0.041910
100000, 0.026521, 0.312206, 0.027436
100000, 0.025216, 0.146890, 0.022748
100000, 0.027716, 0.243595, 0.059542
100000, 0.024528, 0.199679, 0.025440
100000, 0.024051, 0.142000, 0.057348
100000, 0.030490, 0.312875, 0.026556
100000, 0.020787, 0.098554, 0.042811
100000, 0.027822, 0.056817, 0.038472
100000, 0.046990, 0.159028, 0.024904
100000, 0.025200, 0.182587, 0.019188
100000, 0.019689, 0.067873, 0.041614
100000, 0.056970, 0.129304, 0.021202
100000, 0.023410, 0.075830, 0.051133
100000, 0.023303, 0.141250, 0.024442
100000, 0.039527, 0.155455, 0.019622
100000, 0.019540, 0.093110, 0.036591
100000, 0.025355, 0.140183, 0.024538
100000, 0.020364, 0.185219, 0.022996
100000, 0.025583, 0.104505, 0.042023
100000, 0.021146, 0.149217, 0.021453
100000, 0.021296, 0.176901, 0.022319
100000, 0.023758, 0.115584, 0.045855
100000, 0.025306, 0.179492, 0.055134
100000, 0.044135, 0.300270, 0.025037
100000, 0.020118, 0.106293, 0.038086
100000, 0.036525, 0.166470, 0.020885
100000, 0.023701, 0.177454, 0.020984
100000, 0.019578, 0.080339, 0.050705
100000, 0.053799, 0.161750, 0.021204
100000, 0.020146, 0.161295, 0.020003
100000, 0.019826, 0.144128, 0.054802
100000, 0.022807, 0.181897, 0.019857
1000000, 0.311611, 0.324239, 0.312560
1000000, 0.285945, 0.297315, 0.228235
1000000, 0.268074, 0.293006, 0.230568
1000000, 0.278150, 0.313855, 0.238167
1000000, 0.287672, 0.299554, 0.251159
1000000, 0.282690, 0.314313, 0.247257
1000000, 0.274757, 0.312431, 0.229005
1000000, 0.277140, 0.287303, 0.229106
1000000, 0.269893, 0.293716, 0.237740
1000000, 0.284300, 0.292079, 0.231394
1000000, 0.277671, 0.278723, 0.229099
1000000, 0.269156, 0.308811, 0.236262
1000000, 0.274305, 0.285017, 0.229334
1000000, 0.296151, 0.344221, 0.244918
1000000, 0.285247, 0.314851, 0.243227
1000000, 0.314272, 0.307705, 0.242960
1000000, 0.318096, 0.402023, 0.241831
1000000, 0.427798, 0.320917, 0.235969
1000000, 0.273248, 0.390575, 0.229392
1000000, 0.272865, 0.339844, 0.336048
1000000, 0.274265, 0.293225, 0.229556
1000000, 0.275700, 0.347978, 0.241950
1000000, 0.289220, 0.329346, 0.258025
1000000, 0.326630, 0.322482, 0.251922
1000000, 0.317569, 0.342040, 0.278451
1000000, 0.341757, 0.415823, 0.483488
1000000, 0.371856, 0.415267, 0.767227
1000000, 0.318676, 0.349129, 0.227186
1000000, 0.291140, 0.334246, 0.226895
